Number,Replicate,Start Date,1,2,3,4,5,6,7.00000,Slope,R^2,Substrate,Climate,Region,GPS,Tighter,
64,b,4/14/2017,2,3.8,6.2,8.6,10.7,13.7,18.6,2.646428571,0.975,Strawberry,Temperate,Northern California,,,
64,c,4/14/2017,2,3.9,6.4,8.8,11.1,13.2,17.9,2.535714286,0.9834946153,Strawberry,Temperate,Northern California,,,
65,a,1/31/2017,2.6,5.3,7.1,8.9,10.7,11.9,14.3,1.853571429,0.9920776982,Strawberry,Temperate,Northern California,,,
65,b,1/31/2017,3.5,7,8.9,10.9,12.9,14.3,17.3,2.142857143,0.987730196,Strawberry,Temperate,Northern California,,,
65,c,1/31/2017,2.5,5,5.9,6.8,7.8,9.2,12,1.385714286,0.9605431065,Strawberry,Temperate,Northern California,,,
65,a,4/14/2017,2.4,4.9,5.9,7.1,7.7,8.9,12.1,1.389285714,0.9497928697,Strawberry,Temperate,Northern California,,,
65,b,4/14/2017,2.4,4.9,6.1,7.1,7.5,9.4,12.3,1.432142857,0.9504953421,Strawberry,Temperate,Northern California,,,
65,c,4/14/2017,2.4,4.9,6.2,7.1,8.1,8.9,12.5,1.435714286,0.9443457529,Strawberry,Temperate,Northern California,,,
66,a,1/31/2017,2.7,5.4,7.3,9.2,11.1,11.8,13.2,1.717857143,0.9753836425,Strawberry,Temperate,Northern California,,,
66,b,1/31/2017,3,6,8.6,11.2,13.9,14.5,15.8,2.167857143,0.9660435239,Strawberry,Temperate,Northern California,,,
66,c,1/31/2017,2.7,5.5,6.3,7.1,7.9,8.2,9,0.925,0.8961339104,Strawberry,Temperate,Northern California,,,
67,a,4/14/2017,1.9,3.8,4.9,6,6.9,7.2,8.5,1.021428571,0.9660336357,Strawberry,Temperate,Northern California,,,
67,b,4/14/2017,1.8,3.7,4.6,5.8,7,7.4,8.5,1.067857143,0.9771028242,Strawberry,Temperate,Northern California,,,
68,c,4/14/2017,3,6.2,7.9,10.7,12.4,15.8,23.1,3,0.9419856459,Strawberry,Temperate,Northern California,,,
68,a,4/14/2017,2.9,6.1,7.9,10.7,12.4,16.2,22,2.928571429,0.9639866957,Strawberry,Temperate,Northern California,,,
69,b,4/14/2017,2.3,4.7,7.4,9.4,12.9,13.3,17,2.385714286,0.9866973289,Strawberry,Temperate,Northern California,,,
69,c,4/14/2017,2.4,4.9,7.3,10,11.7,14.3,16.9,2.382142857,0.9983147832,Strawberry,Temperate,Northern California,,,
70,a,4/14/2017,4,8.3,9.5,10.3,12.1,12.8,14.4,1.528571429,0.9271946874,Strawberry,Temperate,Northern California,,,
70,b,4/14/2017,4.1,8.2,8.9,11,11.9,12.1,14.4,1.489285714,0.9188419428,Strawberry,Temperate,Northern California,,,
70,c,4/14/2017,4.2,8.2,9.5,10.8,11.8,12.4,14.3,1.464285714,0.9228556371,Strawberry,Temperate,Northern California,,,
71,a,4/14/2017,1.8,3.6,5.4,7.4,9.5,11.6,13.9,2.014285714,0.9981173281,Strawberry,Temperate,Northern California,,,
71,b,4/14/2017,1.7,3.5,5.6,7.8,9.9,10.8,14,1.992857143,0.9915545705,Strawberry,Temperate,Northern California,,,
71,c,4/14/2017,1.8,3.4,5.6,7.4,9.8,11.4,14,2.028571429,0.9971318366,Strawberry,Temperate,Northern California,,,
72,a,10/21/16,2.5,4.9,11.6,14.1,16.5,21.8,27,4.007142857,0.9840320422,Strawberry,Temperate,Northern California,"36.646695,-121.578872",Monterrey,
72,b,10/21/16,1.6,3.1,14.4,16,17.5,22.3,27,4.203571429,0.9429446375,Strawberry,Temperate,Northern California,"36.646695,-121.578872",Monterrey,
72,c,10/21/16,1.5,3,11.1,12.6,14.1,20.6,27,4.096428571,0.957302254,Strawberry,Temperate,Northern California,,Monterrey,
73,a,4/14/2017,2.1,4.7,6,8.2,10.1,10.9,13.9,1.853571429,0.9880021421,Strawberry,Temperate,Northern California,,,
73,b,4/14/2017,2.1,4.3,6.1,7.9,9.6,11.1,14.1,1.896428571,0.9930162286,Strawberry,Temperate,Northern California,,,
73,c,4/14/2017,2.3,4.6,6.1,8.3,10.2,10.7,13.3,1.760714286,0.9871373103,Strawberry,Temperate,Northern California,,,
74,a,4/14/2017,2.4,4.8,7.9,10.2,13.1,12.6,13.9,1.975,0.9325719688,Strawberry,Temperate,Northern California,,,
74,b,4/14/2017,2.4,4.8,7.5,10.6,13.5,12.8,13.2,1.942857143,0.8966236033,Strawberry,Temperate,Northern California,,,
74,c,4/14/2017,2.3,5,7.8,10.3,13.8,12.7,13,1.910714286,0.87945836,Strawberry,Temperate,Northern California,,,
75,a,4/14/2017,2.4,5.2,6.3,7.7,8.6,9.7,10.9,1.314285714,0.9677566888,Strawberry,Temperate,Northern California,,,
75,b,4/14/2017,2.5,5.1,6,7.5,8.7,9.7,10.9,1.325,0.9788430904,Strawberry,Temperate,Northern California,,,
75,c,4/14/2017,2.4,4.8,6.1,7.3,9,9.7,10.9,1.364285714,0.9797239231,Strawberry,Temperate,Northern California,,,
76,a,1/31/2017,2.4,4.9,6.5,8.2,9.9,10.6,12,1.557142857,0.9795531371,Strawberry,Temperate,Northern California,,,
76,b,1/31/2017,2.3,4.7,6.4,8.1,9.8,12.2,17,2.232142857,0.962547804,Strawberry,Temperate,Northern California,,,
76,c,1/31/2017,2.4,4.8,6.7,8.6,10.5,11.8,14.5,1.932142857,0.9951886459,Strawberry,Temperate,Northern California,,,
77,a,1/31/2017,1,2.1,5,7.9,10.8,12.5,16,2.557142857,0.990540081,Strawberry,Temperate,Northern California,,,
77,b,1/31/2017,3.2,6.4,8.3,10.2,12.2,13.8,17.1,2.157142857,0.9899489851,Strawberry,Temperate,Northern California,,,
77,c,1/31/2017,3,6,7.7,9.5,11.3,14,19.4,2.457142857,0.9579380242,Strawberry,Temperate,Northern California,,,
78,a,4/14/2017,0.7,1.5,3.8,5.9,8.7,9.5,10.1,1.753571429,0.9665819354,Strawberry,Temperate,Northern California,,,
78,b,4/14/2017,0.7,1.4,4,6,8.2,9.4,10.5,1.771428571,0.9823978532,Strawberry,Temperate,Northern California,,,
78,c,4/14/2017,0.7,1.5,3.7,6.3,8,9.5,10.9,1.817857143,0.9875019058,Strawberry,Temperate,Northern California,,,
79,a,4/14/2017,2.2,4.3,6.7,9.2,11.2,13.9,18.1,2.55,0.9876092617,Strawberry,Temperate,Northern California,,,
79,b,4/14/2017,2.2,4.6,6.5,8.9,11.5,13,18.5,2.525,0.9719545299,Strawberry,Temperate,Northern California,,,
80,b,4/14/2017,3,6.5,8.2,9.3,11,12.2,14.1,1.696428571,0.9709813744,Strawberry,Temperate,Northern California,,,
80,a,4/14/2017,3.1,6.1,7.8,9.7,10.6,11.8,13.8,1.653571429,0.9741919945,Strawberry,Temperate,Northern California,,,
81,b,4/14/2017,2.3,5,10.2,15.4,21.7,23.3,29.2,4.6,0.9886530503,Tuber,Temperate,Northern California,,,
81,c,4/14/2017,2.4,5,10,15,21.2,22.9,27.7,4.389285714,0.9883377479,Tuber,Temperate,Northern California,,,
81,a,4/14/2017,2.5,4.7,10,15.8,21.4,23.8,28.8,4.589285714,0.9890559786,Tuber,Temperate,Northern California,,,
82,a,4/14/2017,0.6,1.1,2.1,3.4,4.2,5.4,5.4,0.8964285714,0.9742824446,Strawberry,Temperate,Northern California,,,
82,b,4/14/2017,0.6,1.1,2.2,3.3,4.4,5.4,5.2,0.8785714286,0.9625270391,Strawberry,Temperate,Northern California,,,
82,c,4/14/2017,0.6,1.1,2.2,3.3,4.3,5,5.2,0.8464285714,0.9756983046,Strawberry,Temperate,Northern California,,,
84,a,4/14/2017,0.2,0.4,0.7,1.2,1.7,2.4,2.3,0.4035714286,0.9592097356,Strawberry,Temperate,Northern California,,,
84,b,4/14/2017,0.2,0.4,0.7,1.2,1.9,2.2,2.3,0.3964285714,0.9662013802,Strawberry,Temperate,Northern California,,,
84,c,4/14/2017,0.2,0.4,0.7,1.2,1.8,2.2,2.3,0.3928571429,0.9739214424,Strawberry,Temperate,Northern California,,,
85,a,4/14/2017,0.6,1.2,2.3,3.5,3.6,4,6.3,0.8571428571,0.9370119729,Strawberry,Temperate,Northern California,,,
85,b,4/14/2017,0.6,1.2,2.2,3.3,3.8,4.3,6.1,0.8678571429,0.9747919968,Strawberry,Temperate,Northern California,,,
85,c,4/14/2017,0.6,1.2,2.3,3.3,3.7,4.1,6.1,0.8464285714,0.9608765567,Strawberry,Temperate,Northern California,,,
87,a,4/14/2017,1,1.8,3.7,5.6,6.7,7.6,12.9,1.796428571,0.9247945786,Strawberry,Temperate,Northern California,,,
87,b,4/14/2017,1,1.9,3.9,5.6,6.9,7.6,12.6,1.757142857,0.9354479688,Strawberry,Temperate,Northern California,,,
87,c,4/14/2017,1,1.9,3.8,5.8,6.5,7.6,12.7,1.757142857,0.9261141038,Strawberry,Temperate,Northern California,,,
88,a,4/14/2017,0.3,0.6,1.3,1.8,2.2,2.6,2.5,0.4107142857,0.9468069874,Strawberry,Temperate,Northern California,,,
88,b,4/14/2017,0.3,0.6,1.2,1.7,2.2,2.6,2.5,0.4142857143,0.9556818182,Strawberry,Temperate,Northern California,,,
88,c,4/14/2017,0.3,0.6,1.2,1.7,2.2,2.6,2.7,0.4357142857,0.9792105263,Strawberry,Temperate,Northern California,,,
91,a,4/14/2017,2,4.2,7.9,12.4,15.6,17.4,27.1,3.907142857,0.9562998191,Strawberry,Temperate,Northern California,,,
91,b,4/14/2017,1.9,3.9,8.2,12.7,14.6,17.3,28.1,3.992857143,0.9386689016,Strawberry,Temperate,Northern California,,,
91,c,4/14/2017,2.1,4,8.3,13.4,14.7,17.5,27.9,3.957142857,0.9412118276,Strawberry,Temperate,Northern California,,,
92,a,4/14/2017,0.8,1.7,3.3,4.7,5.3,5.6,9.8,1.314285714,0.9136442142,Strawberry,Temperate,Northern California,,,
92,b,4/14/2017,0.8,1.6,3.2,4.7,5.2,5.7,9.7,1.317857143,0.92190039,Strawberry,Temperate,Northern California,,,
92,c,4/14/2017,0.8,1.6,3.3,4.5,4.9,5.7,10.1,1.346428571,0.8992319178,Strawberry,Temperate,Northern California,,,
93,a,1/31/2017,0.2,0.4,0.7,3.2,3.8,4.3,5.1,0.9142857143,0.9319681456,Strawberry,Temperate,Northern California,,,
93,b,1/31/2017,0.4,0.8,1.6,2.7,3,3.2,4.7,0.6821428571,0.9610379347,Strawberry,Temperate,Northern California,,,
93,c,1/31/2017,0.1,0.2,0.4,2.9,3.3,3.7,5.1,0.8892857143,0.922743779,Strawberry,Temperate,Northern California,,,
95,a,4/14/2017,0.6,1.2,2.2,3.3,3.7,3.9,5.7,0.7928571429,0.9619768894,Strawberry,Temperate,Northern California,,,
95,b,4/14/2017,0.6,1.1,2.2,3.1,3.7,3.8,5.5,0.7714285714,0.9655629139,Strawberry,Temperate,Northern California,,,
95,c,4/14/2017,0.6,1.1,2.2,3.3,3.8,4.1,5.7,0.8178571429,0.9737262329,Strawberry,Temperate,Northern California,,,
96,a,4/14/2017,0.8,1.6,3.2,4.1,4.5,5.1,6.6,0.9178571429,0.9731406176,Dung,Desert,Southern California,,,
96,b,4/14/2017,0.8,1.6,3.1,4.3,4.8,5.1,7.1,0.9857142857,0.9663080982,Dung,Desert,Southern California,,,
96,c,4/14/2017,0.8,1.6,3,4.4,4.8,5.1,6.9,0.9678571429,0.9664306769,Dung,Desert,Southern California,,,
97,a,4/14/2017,1,1.9,3.9,5.9,6.5,7.3,10.5,1.496428571,0.9668733753,Dung,Desert,Southern California,,,
97,b,4/14/2017,1,2.1,4.2,5.6,6.6,7.5,11.4,1.585714286,0.9575286575,Dung,Desert,Southern California,,,
97,c,4/14/2017,1,2,4.1,5.6,6.4,6.9,11.5,1.557142857,0.9287836148,Dung,Desert,Southern California,,,
98,a,4/14/2017,1.6,3.2,6.2,8,9,9.9,13.9,1.896428571,0.9669709731,Plant,Desert,Southern California,,,
98,b,4/14/2017,1.6,3.1,6.1,7.9,9.1,9.9,14,1.921428571,0.9681955632,Plant,Desert,Southern California,,,
98,c,4/14/2017,1.6,3,6.1,8.2,9,9.5,13.1,1.8,0.9595068294,Plant,Desert,Southern California,,,
99,a,4/14/2017,1.8,3.4,6.9,9.5,13.1,15.6,26.3,3.717857143,0.9190965437,Fruit,Desert,Southern California,,,
99,b,4/14/2017,2.2,4.3,8.6,12.1,15,16.9,27.5,3.839285714,0.939728106,Fruit,Desert,Southern California,,,
99,c,4/14/2017,2.2,4.4,8.8,12,14.3,16,28.4,3.832142857,0.9063812736,Fruit,Desert,Southern California,,,
100,a,4/14/2017,1.2,2.4,4.7,9,10.8,11.6,15.9,2.45,0.9733193243,Tuber,Temperate,Maryland,,,
100,b,4/14/2017,1.2,2.4,4.7,9.4,11.1,11.9,16.3,2.525,0.9701134211,Tuber,Temperate,Maryland,,,
100,c,4/14/2017,1.2,2.2,4.4,9.4,10.8,12.4,16,2.542857143,0.9735144104,Tuber,Temperate,Maryland,,,
101,a,1/31/2017,1.8,3.6,7.2,9.9,13.1,16.3,26.7,3.785714286,0.9253159053,Fruit,Desert,Southern California,,,
101,b,1/31/2017,2.2,4.4,8.8,12.3,14.9,17.4,28,3.910714286,0.9402937671,Fruit,Desert,Southern California,,,
101,c,1/31/2017,2.2,4.4,8.7,12.4,14.5,16.5,27.8,3.814285714,0.9256268097,Fruit,Desert,Southern California,,,
102,a,1/31/2017,0.2,0.4,0.8,2.2,2.5,2.8,3.6,0.5964285714,0.9569379632,Fruit,Desert,Southern California,,,
102,b,1/31/2017,0.4,0.9,1.7,2.6,2.8,3,4.2,0.5964285714,0.9638166989,Fruit,Desert,Southern California,,,
102,c,1/31/2017,0.4,0.7,1.4,2.4,2.6,2.7,3.8,0.55,0.9559819413,Fruit,Desert,Southern California,,,
103,a,6/8/2017,1.8,4.1,6.2,7.9,11.2,14.1,13.3,2.125,0.9616899557,Dung,Desert,Southern California,,,
103,b,6/8/2017,1.8,4.1,6.7,8.3,11.6,14.8,12.5,2.085714286,0.9170933184,Dung,Desert,Southern California,,,
103,c,6/8/2017,1.9,4.4,6.2,7.9,11.6,14.1,12,1.967857143,0.9114738447,Dung,Desert,Southern California,,,
104,a,6/8/2017,1.4,3.8,5.3,6.9,9.8,12.6,15.1,2.257142857,0.9883209945,Fruit,Termperate,Northern California,,,
104,b,6/8/2017,0.6,2.5,4.3,6.6,8.6,10.9,13.3,2.114285714,0.997904328,Fruit,Termperate,Northern California,,,
104,c,6/8/2017,2.1,4.1,6.2,7.4,10.1,11.9,14.2,1.992857143,0.9957147974,Fruit,Termperate,Northern California,,,
105,a,6/8/2017,1.3,2.4,3.8,5.2,14,20.6,24.2,4.117857143,0.9050346381,Almond,Termperate,Northern California,,,
105,b,6/8/2017,1.4,2.7,3.9,5.6,13.5,20.9,23.3,3.989285714,0.9065662511,Almond,Termperate,Northern California,,,
105,c,6/8/2017,1.4,2.5,4,5.5,12.8,20.9,22.2,3.857142857,0.9019040196,Almond,Termperate,Northern California,,,
106,a,6/8/2017,2.4,4.9,5.8,7.1,14.3,20,21,3.375,0.9244871466,Almond,Termperate,Northern California,,,
106,b,6/8/2017,2.6,5,6.9,8.6,13,17.1,18.1,2.742857143,0.9747481425,Almond,Termperate,Northern California,,,
106,c,6/8/2017,1.8,3.7,4.7,5.5,10.3,14.8,17.5,2.675,0.9314868563,Almond,Termperate,Northern California,,,
107,a,6/8/2017,1.3,3.5,5.4,7.9,10.6,14.4,14.1,2.335714286,0.9752380431,Almond,Termperate,Northern California,,,
107,b,6/8/2017,1.3,3.3,5.7,7.5,10.9,13.3,15.3,2.4,0.9951343347,Almond,Termperate,Northern California,,,
107,c,6/8/2017,1.4,3.4,5.6,7.9,11,14,15.1,2.417857143,0.9915905118,Almond,Termperate,Northern California,,,
108,a,6/8/2017,1.4,3.3,5.6,7.9,11.2,14.6,15.6,2.528571429,0.9883744775,Almond,Termperate,Northern California,,,
108,b,6/8/2017,1.4,3.2,5.5,7.5,11,15.2,15.6,2.575,0.9768950043,Almond,Termperate,Northern California,,,
108,a,6/8/2017,1.4,3.1,5.2,7.8,10.8,15.9,15.7,2.646428571,0.9668825543,Almond,Termperate,Northern California,,,
109,b,6/8/2017,2.1,4,5.8,7.8,8.4,10.5,10.4,1.446428571,0.9625428384,Almond,Termperate,Northern California,,,
109,c,6/8/2017,2,4.5,5.5,7.2,9,10.8,10.5,1.485714286,0.9627915257,Almond,Termperate,Northern California,,,
109,a,6/8/2017,2.2,4.4,5.8,7.4,8.7,10.6,10.6,1.446428571,0.974066464,Almond,Termperate,Northern California,,,
110,b,6/8/2017,1.3,2.9,4.5,6.3,9.6,11.4,11.1,1.839285714,0.9621035143,Almond,Termperate,Northern California,,,
110,c,6/8/2017,2,3.8,5.2,6.8,8,10.3,11.5,1.582142857,0.9958642877,Almond,Termperate,Northern California,,,
110,a,6/8/2017,2.3,3.8,5.7,7.2,9.5,9.5,11,1.475,0.9737452046,Almond,Termperate,Northern California,,,
111,b,6/8/2017,1,4.5,7.1,9.1,12.5,14.6,15.1,2.425,0.9767652243,Almond,Termperate,Southern California,,,
111,c,6/8/2017,1,4.1,8,9.2,11.7,14.2,16.9,2.557142857,0.9888281949,Almond,Termperate,Southern California,,,
111,a,6/8/2017,1,4.2,7.2,9.3,11.4,13.7,16.1,2.446428571,0.9937838868,Almond,Termperate,Southern California,,,
112,b,6/8/2017,1,4,7.4,9.6,12,14.3,16.7,2.582142857,0.9944619892,Almond,Termperate,Southern California,,,
112,c,6/8/2017,1,3.9,7,9.6,11.4,14.9,16.4,2.592857143,0.9933884173,Almond,Termperate,Southern California,,,
112,a,6/8/2017,1.1,3.8,7,9.9,10.8,15.4,16,2.560714286,0.980173045,Almond,Termperate,Southern California,,,
113,b,6/8/2017,1.2,2.4,4.3,6.3,13.4,19.8,24.6,4.075,0.9270068471,Almond,Termperate,Northern California,,,
113,c,6/8/2017,1.9,3.6,5.7,6.9,13.7,19.3,20.9,3.442857143,0.9399664997,Almond,Termperate,Northern California,,,
113,a,6/8/2017,2.1,4,5,6.2,13.8,20.8,25.9,4.064285714,0.9015047308,Almond,Termperate,Northern California,,,
114,b,6/8/2017,2.7,5.4,6.5,7.7,9.3,13.5,13.4,1.825,0.9574972865,Almond,Termperate,Northern California,,,
114,c,6/8/2017,2.7,5.1,6.5,7.6,9.1,12.2,12.5,1.65,0.9773434924,Almond,Termperate,Northern California,,,
114,a,6/8/2017,2.8,5.1,6.7,7.7,8.9,14.2,12.8,1.8,0.9179531657,Almond,Termperate,Northern California,,,
115,b,6/8/2017,3.2,5.2,6.1,6.5,6.4,8.1,7.3,0.6571428571,0.8110387122,Almond,Termperate,Northern California,,,
115,c,6/8/2017,1.1,3.5,6,9.5,10.1,11.2,12.8,1.95,0.9562846438,Almond,Termperate,Northern California,,,
115,a,6/8/2017,1.5,4.7,5.1,5.5,5.1,6.1,6.8,0.6678571429,0.7323044061,Almond,Termperate,Northern California,,,
116,b,6/8/2017,5.5,10.5,17.4,21.2,28,26.3,27.5,3.864285714,0.8957282587,Almond,Termperate,Northern California,,,
116,c,6/8/2017,5.4,10.5,15.2,20.9,24.7,27.1,28.3,3.978571429,0.9640630923,Almond,Termperate,Northern California,,,
116,a,6/8/2017,1.7,3.3,10.9,13.2,14.5,17.3,19.7,3.057142857,0.9467558376,Almond,Termperate,Northern California,,,
117,b,6/8/2017,0.7,3.3,4.5,5.6,5.9,17.9,20.6,3.225,0.8233992665,Almond,Termperate,Northern California,,,
117,c,6/8/2017,0.7,3.2,3.9,5.5,6.3,18.1,21.3,3.357142857,0.8306822199,Almond,Termperate,Northern California,,,
117,a,6/8/2017,0.7,3.5,4.3,5.2,5.9,17.7,21.6,3.310714286,0.8133580055,Almond,Termperate,Northern California,,,
118,b,6/8/2017,0.7,3.3,4.2,5,5.9,18,22.4,3.435714286,0.8084231344,Almond,Termperate,Northern California,,,
118,c,6/8/2017,1,3.1,5.8,8.8,10.5,12.9,13.7,2.228571429,0.9846253439,Almond,Termperate,Northern California,,,
118,a,6/8/2017,3.6,7.8,8.2,8.8,9.4,13,14.1,1.539285714,0.9096299996,Almond,Termperate,Northern California,,,
119,b,6/8/2017,1.2,4.1,5.2,5.9,6.8,9,10.9,1.446428571,0.9638550677,Fruit,Desert,Southern California,,,
119,c,6/8/2017,1,4.1,5.6,6.2,6.9,8.6,9.7,1.3,0.9451038576,Fruit,Desert,Southern California,,,
119,a,6/8/2017,1,4.2,5.2,6.1,6.8,8.5,9.7,1.296428571,0.951978095,Fruit,Desert,Southern California,,,
120,b,6/8/2017,0.9,4.2,5.2,6.3,7,8.2,9.2,1.239285714,0.9365394188,Almond,Termperate,Southern California,,,
120,c,6/8/2017,3.1,6,13.1,18.2,25,25.2,26,4.25,0.9326411903,Almond,Termperate,Southern California,,,
120,a,6/8/2017,4,8.3,10.3,14.1,19.6,23.6,26.3,3.814285714,0.9902075173,Almond,Termperate,Southern California,,,
121,b,6/8/2017,3,6.2,13.1,20.4,26.9,27.1,25.8,4.428571429,0.8927410215,Almond,Termperate,Southern California,,,
121,c,6/8/2017,3,5.6,13.4,18.6,25.1,25.2,27.5,4.442857143,0.9455336413,Almond,Termperate,Southern California,,,
121,a,6/8/2017,4.3,8.5,10.7,15.3,20,23.2,27,3.814285714,0.9953366935,Almond,Termperate,Southern California,,,
122,b,6/8/2017,1.9,3.9,5.5,7.4,7.9,10.9,12.1,1.678571429,0.9860550655,Almond,Termperate,Southern California,,,
122,c,6/8/2017,2,4.1,5.1,7,8.5,9.9,12.5,1.660714286,0.9909486709,Almond,Termperate,Southern California,,,
122,a,6/8/2017,1.9,4.1,5.3,6.9,9.2,10.5,11.6,1.635714286,0.9918107198,Almond,Termperate,Southern California,,,
123,b,6/8/2017,1.5,2.9,7.9,9.7,10.8,12.1,13,1.992857143,0.9244115621,Almond,Termperate,Northern California,,,
123,c,6/8/2017,1.7,3,7,8.2,9.9,11.6,12.3,1.853571429,0.9616738547,Almond,Termperate,Northern California,,,
123,a,6/8/2017,1.3,2.6,7.8,9.2,10.1,11.9,12.5,1.946428571,0.9196503765,Almond,Termperate,Northern California,,,
124,b,6/8/2017,5.2,10.2,11.9,16.3,23.1,24.7,28.3,3.910714286,0.9819381204,Almond,Termperate,Northern California,,,
124,c,6/8/2017,5.6,11,13.2,19.1,24.2,26.2,26.1,3.675,0.9495514288,Almond,Termperate,Northern California,,,
124,a,6/8/2017,5.7,10.7,13.7,19.7,24.9,27.1,25.3,3.671428571,0.9216739695,Almond,Termperate,Northern California,,,
125,b,6/8/2017,2.6,5.3,9.3,11.9,15,17.2,18.3,2.735714286,0.9814599224,Almond,Termperate,Northern California,,,
125,c,6/8/2017,2.6,5.4,9.1,11.6,14.6,18,19,2.853571429,0.9900391425,Almond,Termperate,Northern California,,,
125,a,6/8/2017,2.2,4.3,11.2,12.5,12.8,16.7,19,2.742857143,0.9406721274,Almond,Termperate,Northern California,,,
126,b,6/8/2017,2.5,5.3,16.6,22.2,28,28,27.2,4.675,0.8696072083,Almond,Termperate,Northern California,,,
126,c,6/8/2017,4.2,7.7,19.3,23.1,26.9,27.5,27.7,4.203571429,0.8644690862,Almond,Termperate,Northern California,,,
126,a,6/8/2017,4.6,9.9,17.6,21.8,27.4,27.7,27.1,4.032142857,0.891806364,Almond,Termperate,Northern California,,,
127,b,6/8/2017,0.8,1.6,8.5,9.8,10.1,11.4,12.5,2.010714286,0.8558587506,Almond,Termperate,Northern California,,,
127,c,6/8/2017,1.9,3.6,6.3,7.9,9.9,10.1,11.1,1.578571429,0.9526976944,Almond,Termperate,Northern California,,,
127,a,6/8/2017,2.4,5.1,7.4,9.7,11.7,13.3,13,1.875,0.9503785998,Almond,Termperate,Northern California,,,
128,b,6/8/2017,1,2,8.8,9.6,10.8,12.3,14,2.2,0.9056574953,Almond,Termperate,Northern California,,,
128,c,6/8/2017,1.6,3.4,10,11.2,12.6,14.9,17.5,2.617857143,0.9481882933,Almond,Termperate,Northern California,,,
128,a,6/8/2017,1.1,2.2,8.6,10,11.2,13.4,16.6,2.553571429,0.9520869649,Almond,Termperate,Northern California,,,
129,b,6/8/2017,3.1,6.1,15.5,19.6,21.4,24.5,28.3,4.225,0.9533147959,Fruit,Desert,Southerm California,,,
129,c,6/8/2017,1.5,2.9,11.5,13.7,14.8,21,27,4.142857143,0.9612197547,Fruit,Desert,Southerm California,,,
129,a,6/8/2017,1.5,2.8,12.1,13.6,14.4,20.3,27.2,4.085714286,0.9457168954,Fruit,Desert,Southerm California,,,
130,b,6/8/2017,2.5,5,10.1,12,15,15.1,16.8,2.428571429,0.9357899168,Strawberry,Desert,Southerm California,,,
130,c,6/8/2017,3.4,7.1,6.9,10.9,14.4,15,16.7,2.257142857,0.9582005911,Strawberry,Desert,Southerm California,,,
130,a,6/8/2017,1.8,3.4,8.6,10.6,12,15.2,16.9,2.582142857,0.9751387915,Strawberry,Desert,Southerm California,,,
