Number,Replicate,start date,1,2,3,4,5,6,7,Slope,R^2,Substrate,Climate,Region,GPS,Tighter,
64,a,05/02/2017,1.3,2.8,4.8,8.3,11.4,9.8,12.7,1.957142857,0.5275510204,Strawberry,Temperate,Northern California,,,
64,b,05/02/2017,1.3,2.8,4.6,8.2,11.9,10.2,13.2,2.064285714,0.6068877551,Strawberry,Temperate,Northern California,,,
64,c,05/02/2017,1.4,2.8,4.5,8.5,12.1,10.7,13.6,2.142857143,0.6581632653,Strawberry,Temperate,Northern California,,,
65,a,1/31/17,3.1,6.2,9.2,12.1,15,17.8,22.6,3.125,0.83125,Strawberry,Temperate,Northern California,,,
65,b,1/31/17,7.2,14.3,16.3,18.3,17.7,15.1,27,2.228571429,-0.6433673469,Strawberry,Temperate,Northern California,,,
65,c,1/31/17,2.8,5.6,8.6,11.5,14.5,17.6,21.6,3.082142857,0.8766581633,Strawberry,Temperate,Northern California,,,
66,a,1/31/17,1.9,3.8,7.2,10.5,14.6,19.2,17.8,3.067857143,0.9894132653,Strawberry,Temperate,Northern California,,,
66,b,1/31/17,2.3,4.5,7.2,9.8,12.7,15.6,15.6,2.414285714,0.5836734694,Strawberry,Temperate,Northern California,,,
66,c,1/31/17,3.2,6.4,9.8,13.2,16.7,20.1,20.2,3.046428571,0.6299744898,Strawberry,Temperate,Northern California,,,
67,a,05/02/2017,1.3,4,3.2,5.6,6.1,8.1,7.3,1.039285714,0.06492346939,Strawberry,Temperate,Northern California,,,
67,b,05/02/2017,1.4,4.1,3.1,5.7,5.9,8.1,7.2,1.007142857,0.04719387755,Strawberry,Temperate,Northern California,,,
67,c,05/02/2017,1.3,4.3,3.2,5.7,6.1,8.3,7,1,0.01071428571,Strawberry,Temperate,Northern California,,,
68,a,05/02/2017,3,5.9,5.2,12.3,14.2,10.6,23.1,2.810714286,0.8868622449,Strawberry,Temperate,Northern California,,,
68,b,05/02/2017,3,5.9,5.3,11.8,14.7,11.1,23.6,2.914285714,0.962244898,Strawberry,Temperate,Northern California,,,
68,c,05/02/2017,3.2,5.7,5.4,12.4,15.2,11,23.4,2.892857143,0.9349489796,Strawberry,Temperate,Northern California,,,
69,a,05/02/2017,2.7,5.6,8.2,6.7,11.8,11.6,16.8,2.067857143,0.4108418367,Strawberry,Temperate,Northern California,,,
69,b,05/02/2017,2.7,5.3,8.4,6.8,12,11.2,16.6,2.039285714,0.393494898,Strawberry,Temperate,Northern California,,,
69,a,05/02/2017,2.7,5.2,8.3,6.8,11.4,11.6,16.2,2.014285714,0.3943877551,Strawberry,Temperate,Northern California,,,
70,b,05/02/2017,3,8.9,8,12.3,12.6,9.8,11.3,1.117857143,-0.687372449,Strawberry,Temperate,Northern California,,,
70,c,05/02/2017,3,9.3,7.9,12.4,13.1,10.1,11.2,1.121428571,-0.7227040816,Strawberry,Temperate,Northern California,,,
70,a,05/02/2017,3.2,9.1,7.9,12.3,12.5,10.5,11.5,1.153571429,-0.6585459184,Strawberry,Temperate,Northern California,,,
71,b,05/02/2017,1.8,2.7,5.8,5.2,7.6,8.9,10.4,1.428571429,0.3244897959,Strawberry,Temperate,Northern California,,,
71,c,05/02/2017,1.7,2.9,6,5,7.6,8.6,10,1.353571429,0.2485969388,Strawberry,Temperate,Northern California,,,
71,a,05/02/2017,1.6,2.9,6,5.1,7.6,8.5,9.5,1.303571429,0.2003826531,Strawberry,Temperate,Northern California,,,
72,b,10/14/16,2.7,5.3,13,18.6,24.2,25.6,27,4.453571429,1.159311224,Strawberry,Temperate,Northern California,"36.646695,-121.578872",Monterrey,
72,c,10/14/16,2.6,5.2,10.6,14.1,17.6,19.8,22,3.371428571,0.8219387755,Strawberry,Temperate,Northern California,"36.646695,-121.578872",Monterrey,
72,a,10/14/16,2.7,5.4,10,16.8,23.6,24.6,25.5,4.3,1.267857143,Strawberry,Temperate,Northern California,"36.646695,-121.578872",Monterrey,
73,b,05/02/2017,2.4,5,6.2,7.2,11.7,11.4,11.5,1.628571429,0.1673469388,Strawberry,Temperate,Northern California,,,
73,c,05/02/2017,2.3,5.1,6,6.9,12,11.7,10.9,1.607142857,0.1471938776,Strawberry,Temperate,Northern California,,,
73,a,05/02/2017,2.3,4.9,5.8,7,12.2,11.3,11,1.617857143,0.1733418367,Strawberry,Temperate,Northern California,,,
74,b,05/02/2017,2.4,5.3,7.1,10.4,13.7,11.8,13.4,1.878571429,0.1334183673,Strawberry,Temperate,Northern California,,,
74,c,05/02/2017,2.4,5.2,7.2,10.3,14.4,11.3,13.6,1.892857143,0.1385204082,Strawberry,Temperate,Northern California,,,
74,a,05/02/2017,2.5,5.2,6.9,10.2,13.9,11.8,14.1,1.964285714,0.224744898,Strawberry,Temperate,Northern California,,,
75,b,05/02/2017,1.8,5,4.3,8.2,6.7,8.3,8.2,1.007142857,-0.1456632653,Strawberry,Temperate,Northern California,,,
75,c,05/02/2017,1.7,5.1,4.3,7.8,6.7,8.3,8.5,1.042857143,-0.1168367347,Strawberry,Temperate,Northern California,,,
75,a,05/02/2017,1.7,5.2,4.1,7.8,7,8.5,8.5,1.067857143,-0.1034438776,Strawberry,Temperate,Northern California,,,
76,b,1/31/17,3.2,6.4,9.7,12.9,16.2,19.5,21.7,3.15,0.7446428571,Strawberry,Temperate,Northern California,,,
76,c,1/31/17,3.3,6.6,9.7,12.7,15.6,18.5,20.6,2.914285714,0.5908163265,Strawberry,Temperate,Northern California,,,
76,a,1/31/17,3.2,6.4,10.6,14.7,19.3,24.3,23.4,3.753571429,0.9735969388,Strawberry,Temperate,Northern California,,,
77,b,1/31/17,5.2,10.3,16.9,23.4,30.7,38.5,27,4.842857143,0.6760204082,Strawberry,Temperate,Northern California,,,
77,c,1/31/17,3.6,7.1,10.2,13.3,16.2,18.9,21.8,3.007142857,0.5900510204,Strawberry,Temperate,Northern California,,,
77,a,1/31/17,4.4,8.8,12.4,15.9,19,21.8,27,3.585714286,0.6948979592,Strawberry,Temperate,Northern California,,,
78,b,05/02/2017,0.6,1.3,2.8,4.8,8.3,8.1,7.8,1.453571429,0.4914540816,Strawberry,Temperate,Northern California,,,
78,c,05/02/2017,0.6,1.3,2.9,4.7,8.3,8,8,1.464285714,0.499744898,Strawberry,Temperate,Northern California,,,
78,a,05/02/2017,0.7,1.3,3,4.6,8.7,7.8,7.6,1.407142857,0.4543367347,Strawberry,Temperate,Northern California,,,
79,b,05/02/2017,2.5,4.7,7.2,6.9,10.3,11.4,20.5,2.517857143,0.8769132653,Strawberry,Temperate,Northern California,,,
79,c,05/02/2017,2.5,4.6,7.3,6.9,10.2,11.9,20,2.5,0.8607142857,Strawberry,Temperate,Northern California,,,
79,a,05/02/2017,2.4,4.4,7.5,6.7,9.9,12.4,19.5,2.489285714,0.855994898,Strawberry,Temperate,Northern California,,,
80,b,05/02/2017,2.6,5,7,7.1,11.3,8.6,9.5,1.15,-0.1803571429,Strawberry,Temperate,Northern California,,,
80,c,05/02/2017,2.7,4.9,7,7,10.8,9,9.5,1.157142857,-0.1510204082,Strawberry,Temperate,Northern California,,,
80,a,05/02/2017,2.5,4.8,6.8,6.7,11.2,9,10,1.260714286,-0.06849489796,Strawberry,Temperate,Northern California,,,
81,b,05/02/2017,2.2,5.1,8.9,16,23.8,23.9,23.6,4.167857143,1.232270408,Tuber,Temperate,Northern California,,,
81,c,05/02/2017,2.2,5.3,8.7,15.7,23.5,24.5,22.5,4.075,1.16875,Tuber,Temperate,Northern California,,,
81,a,05/02/2017,2.3,5.1,8.4,15.7,23.8,25.6,21.5,4.071428571,1.179081633,Tuber,Temperate,Northern California,,,
82,b,05/02/2017,0.5,0.8,1.5,3.2,3.5,5,4,0.7464285714,0.2371173469,Strawberry,Temperate,Northern California,,,
82,c,05/02/2017,0.5,0.8,1.6,3.1,3.6,5.1,4.1,0.7642857143,0.2461734694,Strawberry,Temperate,Northern California,,,
82,a,05/02/2017,0.5,0.7,1.6,3,3.7,5,3.9,0.7464285714,0.2406887755,Strawberry,Temperate,Northern California,,,
84,b,05/02/2017,0.1,0.3,0.5,1.2,1.4,1.6,2.6,0.3928571429,0.1742346939,Strawberry,Temperate,Northern California,,,
84,c,05/02/2017,0.1,0.3,0.5,1.2,1.4,1.5,2.5,0.375,0.1616071429,Strawberry,Temperate,Northern California,,,
84,a,05/02/2017,0.1,0.3,0.5,1.2,1.4,1.4,2.4,0.3571428571,0.1489795918,Strawberry,Temperate,Northern California,,,
85,b,05/02/2017,0.5,1.2,1.9,3.7,3.5,2.9,4.8,0.6392857143,0.118494898,Strawberry,Temperate,Northern California,,,
85,c,05/02/2017,0.5,1.2,1.9,3.5,3.4,3,4.9,0.6535714286,0.1378826531,Strawberry,Temperate,Northern California,,,
85,a,05/02/2017,0.5,1.2,1.9,3.6,3.3,3,4.9,0.65,0.1339285714,Strawberry,Temperate,Northern California,,,
87,b,05/02/2017,0.9,1.6,3.4,3.9,5.7,8,10.8,1.6,0.675,Strawberry,Temperate,Northern California,,,
87,c,05/02/2017,0.9,1.7,3.5,3.9,5.6,8.2,10.5,1.567857143,0.6394132653,Strawberry,Temperate,Northern California,,,
87,a,05/02/2017,0.9,1.6,3.6,3.8,5.6,8.4,10.4,1.575,0.6473214286,Strawberry,Temperate,Northern California,,,
88,b,05/02/2017,0.3,0.5,1.1,1.5,1.5,2.5,2.5,0.3928571429,0.1242346939,Strawberry,Temperate,Northern California,,,
88,c,05/02/2017,0.3,0.5,1.1,1.6,1.5,2.6,2.5,0.4,0.125,Strawberry,Temperate,Northern California,,,
88,a,05/02/2017,0.3,0.5,1.1,1.6,1.5,2.6,2.5,0.4,0.125,Strawberry,Temperate,Northern California,,,
91,b,05/02/2017,2.4,3,7.8,9.5,15.1,16.1,22.7,3.371428571,1.339795918,Strawberry,Temperate,Northern California,,,
91,c,05/02/2017,2.4,3.1,7.9,9.6,15.4,16.6,23.8,3.525,1.43125,Strawberry,Temperate,Northern California,,,
91,a,05/02/2017,2.3,3,8.1,9.8,15.9,17.4,23.8,3.610714286,1.458290816,Strawberry,Temperate,Northern California,,,
92,b,05/02/2017,0.5,1.2,2.2,3.1,3.3,6.4,7.5,1.160714286,0.4922193878,Strawberry,Temperate,Northern California,,,
92,c,05/02/2017,0.6,1.2,2.3,3.2,3.4,6.4,7.2,1.117857143,0.4554846939,Strawberry,Temperate,Northern California,,,
92,a,05/02/2017,0.6,1.2,2.3,3.4,3.2,6.3,7.3,1.114285714,0.4515306122,Strawberry,Temperate,Northern California,,,
93,b,1/31/17,2.4,4.7,8.5,12.3,16.8,21.9,26.3,4.085714286,1.548469388,Strawberry,Temperate,Northern California,,,
93,c,1/31/17,1.5,2.9,6.5,10.1,14.8,20.3,17.3,3.232142857,1.17130102,Strawberry,Temperate,Northern California,,,
93,a,1/31/17,1.2,2.3,5.8,9.2,13.8,19.3,15.5,3.032142857,1.132015306,Strawberry,Temperate,Northern California,,,
95,b,05/02/2017,0.6,0.7,1.9,2.9,3,3.7,4.7,0.6928571429,0.2278061224,Strawberry,Temperate,Northern California,,,
95,c,05/02/2017,0.6,0.7,1.9,2.8,3,3.8,4.6,0.6892857143,0.2274234694,Strawberry,Temperate,Northern California,,,
95,a,05/02/2017,0.6,0.7,1.9,2.9,3.1,4,4.8,0.7285714286,0.2494897959,Strawberry,Temperate,Northern California,,,
96,b,05/02/2017,1,1.8,3.9,5.8,5.9,6.4,8.9,1.246428571,0.3192602041,Dung,Desert,Southern California,,,
96,c,05/02/2017,1,1.8,3.9,5.8,5.7,6.5,9.3,1.289285714,0.355994898,Dung,Desert,Southern California,,,
96,a,05/02/2017,1,1.9,3.8,5.8,5.5,6.6,9.6,1.317857143,0.3804846939,Dung,Desert,Southern California,,,
97,a,05/02/2017,1.2,1.9,4.1,7.4,8.6,6.2,14.1,1.85,0.6660714286,Dung,Desert,Southern California,,,
97,b,05/02/2017,1.2,1.9,4,7.6,8.9,6.1,14.5,1.9,0.6964285714,Dung,Desert,Southern California,,,
97,c,05/02/2017,1.2,1.9,4,7.9,9.2,6,13.8,1.828571429,0.6244897959,Dung,Desert,Southern California,,,
98,a,05/02/2017,1.4,3.8,7.6,8.9,8,9.4,16.6,2.042857143,0.4724489796,Plant,Desert,Southern California,,,
98,b,05/02/2017,1.4,3.9,7.4,8.7,7.8,9.3,17.1,2.082142857,0.5195153061,Plant,Desert,Southern California,,,
98,c,05/02/2017,1.4,4,7.1,9,7.8,8.9,16.3,1.971428571,0.4362244898,Plant,Desert,Southern California,,,
99,a,05/02/2017,1.8,4.3,10.1,11,12.9,11,25.4,3.107142857,0.9650510204,Fruit,Desert,Southern California,,,
99,b,05/02/2017,1.8,4.5,9.9,10.7,12.9,10.6,24.8,3.007142857,0.9007653061,Fruit,Desert,Southern California,,,
99,c,05/02/2017,1.8,4.4,9.7,10.1,12.3,11,24.2,2.964285714,0.9140306122,Fruit,Desert,Southern California,,,
100,a,05/02/2017,1.1,2.4,3.4,10.1,9.3,8.5,15.6,2.2,0.7928571429,Tuber,Temperate,Maryland,,,
100,b,05/02/2017,1,2.5,3.3,10.3,9.5,8.3,15,2.135714286,0.725255102,Tuber,Temperate,Maryland,,,
100,c,05/02/2017,1.1,2.4,3.1,10.1,9.2,8.4,15.4,2.178571429,0.7941326531,Tuber,Temperate,Maryland,,,
101,a,1/31/17,1.8,4.4,6.7,10,16.3,18.1,21,3.378571429,1.20127551,Fruit,Desert,Southern California,,,
101,b,1/31/17,1.9,4.4,6.9,10,15.6,17.2,21.7,3.346428571,1.201403061,Fruit,Desert,Southern California,,,
101,c,1/31/17,1.9,4.6,6.6,10.4,15.5,17.1,22.8,3.45,1.273214286,Fruit,Desert,Southern California,,,
102,a,1/31/17,0.5,0.6,1.6,2.2,2.2,2.3,3.6,0.475,0.1330357143,Fruit,Desert,Southern California,,,
102,b,1/31/17,0.5,0.6,1.6,2.2,2.2,2.3,3.5,0.4642857143,0.124744898,Fruit,Desert,Southern California,,,
102,a,1/31/17,0.5,0.6,1.6,2.2,2.1,2.4,3.5,0.4678571429,0.1286989796,Fruit,Desert,Southern California,,,
103,b,6/20/2017,1.6,3.9,6.8,6.8,9.1,9.8,12.5,1.671428571,0.2755102041,Dung,Desert,Southern California,,,
103,c,6/21/2017,1.5,3.7,6.8,7,8.7,9.6,12.3,1.646428571,0.2656887755,Dung,Desert,Southern California,,,
103,a,6/22/2017,1.6,3.7,7,6.9,8.9,10,12.8,1.717857143,0.312627551,Dung,Desert,Southern California,,,
104,b,6/23/2017,2.2,4.3,6.7,6.7,6.7,11.8,11.6,1.542857143,0.2367346939,Fruit,Termperate,Northern California,,,
104,c,6/24/2017,2.1,4.5,6.8,6.9,6.9,11.6,11.6,1.528571429,0.1923469388,Fruit,Termperate,Northern California,,,
104,a,6/25/2017,2,4.4,6.5,7.1,6.6,11.5,11.4,1.517857143,0.1983418367,Fruit,Termperate,Northern California,,,
105,b,6/26/2017,1.2,2.2,3.2,3.9,13.7,14.3,17.8,3.017857143,1.501913265,Almond,Termperate,Northern California,,,
105,c,6/27/2017,1.2,2.3,3.2,3.8,14.3,14.3,18,3.053571429,1.512882653,Almond,Termperate,Northern California,,,
105,a,6/28/2017,1.2,2.3,3.2,3.8,13.8,14,17.9,3.003571429,1.489668367,Almond,Termperate,Northern California,,,
106,b,6/29/2017,2,2.7,5.3,5.7,10.3,14.7,16,2.535714286,1.068112245,Almond,Termperate,Northern California,,,
106,c,6/30/2017,1.9,2.7,5.1,5.9,10.4,14.2,16.8,2.607142857,1.122193878,Almond,Termperate,Northern California,,,
106,a,7/1/2017,2,2.6,5.3,5.7,10.4,14.1,17.5,2.664285714,1.178316327,Almond,Termperate,Northern California,,,
107,b,7/2/2017,1.4,2.4,6.2,8.1,12.3,9.7,17.1,2.421428571,0.8380102041,Almond,Termperate,Northern California,,,
107,c,7/3/2017,1.4,2.3,6.4,8,12.5,10.1,16.9,2.435714286,0.8395408163,Almond,Termperate,Northern California,,,
107,a,7/4/2017,1.4,2.4,6.4,8.3,12.8,9.7,16.7,2.389285714,0.7845663265,Almond,Termperate,Northern California,,,
108,b,7/5/2017,1.2,2.4,4.4,7,7.9,15.3,12.7,2.278571429,0.8762755102,Almond,Termperate,Northern California,,,
108,c,7/6/2017,1.2,2.4,4.5,6.8,7.5,15,12.7,2.239285714,0.8613520408,Almond,Termperate,Northern California,,,
108,a,7/7/2017,1.2,2.4,4.6,6.6,7.3,15.4,13,2.289285714,0.9024234694,Almond,Termperate,Northern California,,,
109,b,7/8/2017,1.7,5,5.3,6.5,6.2,8.3,9.1,1.060714286,-0.08635204082,Almond,Termperate,Northern California,,,
109,c,7/9/2017,1.8,5.2,5.1,6.2,6.2,8.2,9.2,1.046428571,-0.08073979592,Almond,Termperate,Northern California,,,
109,a,7/10/2017,1.7,5.3,4.8,6.3,6,8.4,9.2,1.067857143,-0.06415816327,Almond,Termperate,Northern California,,,
110,b,7/11/2017,2.5,3.1,5.2,5.3,9.8,9.5,7.5,1.157142857,0.106122449,Almond,Termperate,Northern California,,,
110,c,7/12/2017,2.5,3.2,5.2,5.3,10.1,9.1,7.6,1.142857143,0.08673469388,Almond,Termperate,Northern California,,,
110,a,7/13/2017,2.6,3.2,5.1,5.2,10.2,8.8,7.8,1.139285714,0.1006377551,Almond,Termperate,Northern California,,,
111,b,7/14/2017,1.1,3,6.4,6.3,7.7,14.2,16.1,2.453571429,0.9164540816,Almond,Termperate,Southern California,,,
111,c,7/15/2017,1.2,2.9,6.2,6.4,8,14.6,16.1,2.496428571,0.9567602041,Almond,Termperate,Southern California,,,
111,a,7/16/2017,1.1,2.9,6.4,6.5,8.1,14.5,15.4,2.421428571,0.8772959184,Almond,Termperate,Southern California,,,
112,b,7/17/2017,0.9,2.6,5.8,8.4,9,10.4,14.2,2.096428571,0.6174744898,Almond,Termperate,Southern California,,,
112,c,7/18/2017,0.8,2.6,6,8.3,8.8,10.3,14.1,2.075,0.59375,Almond,Termperate,Southern California,,,
112,a,7/19/2017,0.8,2.6,6.1,8.7,8.4,10.5,14.3,2.092857143,0.5956632653,Almond,Termperate,Southern California,,,
113,b,7/20/2017,1.4,3.7,4.2,5.6,9.1,19.1,22,3.482142857,1.730229592,Almond,Termperate,Northern California,,,
113,c,7/21/2017,1.4,3.9,4.1,5.4,8.9,18.5,22.7,3.496428571,1.753188776,Almond,Termperate,Northern California,,,
113,a,7/22/2017,1.4,3.8,4.2,5.3,9.1,18.7,22.7,3.521428571,1.770153061,Almond,Termperate,Northern California,,,
114,b,7/23/2017,2.8,4.7,5.1,5.4,7.6,10.2,13.4,1.617857143,0.4340561224,Almond,Termperate,Northern California,,,
114,c,7/24/2017,2.9,4.5,5.1,5.4,7.9,10.7,12.8,1.603571429,0.4289540816,Almond,Termperate,Northern California,,,
114,a,7/25/2017,2.8,4.6,5.1,5.2,8.1,10.3,13,1.607142857,0.4257653061,Almond,Termperate,Northern California,,,
115,b,7/26/2017,1.7,4.8,5.2,5.6,4,6.1,4.9,0.3928571429,-0.4757653061,Almond,Termperate,Northern California,,,
115,c,7/27/2017,1.6,4.6,5,5.5,4,6.1,5,0.4357142857,-0.424744898,Almond,Termperate,Northern California,,,
115,a,7/28/2017,1.7,4.5,5.3,5.7,4.1,6.4,5.1,0.4571428571,-0.4224489796,Almond,Termperate,Northern California,,,
116,b,7/29/2017,1.7,3.7,12,9.9,15.5,16.8,14.1,2.389285714,0.255994898,Almond,Termperate,Northern California,,,
116,c,7/30/2017,1.7,3.9,12.2,9.9,14.9,16.7,14.2,2.35,0.2196428571,Almond,Termperate,Northern California,,,
116,a,7/31/2017,1.7,4.1,12.3,10.2,15.2,17.3,13.8,2.342857143,0.1724489796,Almond,Termperate,Northern California,,,
117,b,8/1/2017,0.8,3.1,3.1,3.9,3.9,12.6,17.9,2.539285714,1.307780612,Almond,Termperate,Northern California,,,
117,c,8/2/2017,0.8,3.1,3.1,4,4,13.2,17.3,2.521428571,1.280867347,Almond,Termperate,Northern California,,,
117,a,8/3/2017,0.8,3,3.1,4.1,3.9,13.5,17.6,2.578571429,1.32627551,Almond,Termperate,Northern California,,,
118,b,8/4/2017,2.6,8.6,8.5,6,7,12.8,13.9,1.457142857,-0.1367346939,Almond,Termperate,Northern California,,,
118,c,8/5/2017,2.6,8.8,8.2,5.9,7,12.9,14.5,1.525,-0.07946428571,Almond,Termperate,Northern California,,,
118,a,8/6/2017,2.5,8.7,8.1,6.1,6.7,13.1,14.9,1.592857143,-0.02576530612,Almond,Termperate,Northern California,,,
119,b,8/7/2017,1,2.9,4.7,4.5,5.9,6.6,10.5,1.325,0.3205357143,Fruit,Desert,Southern California,,,
119,c,8/8/2017,1,2.9,4.9,4.6,5.9,6.5,10.3,1.289285714,0.280994898,Fruit,Desert,Southern California,,,
119,a,8/9/2017,1,2.9,4.9,4.7,5.9,6.7,10.2,1.292857143,0.2778061224,Fruit,Desert,Southern California,,,
120,b,8/10/2017,4.3,5.8,11.6,10.8,16.9,26.2,27.8,4.164285714,1.531887755,Almond,Termperate,Southern California,,,
120,c,8/11/2017,4.2,5.5,11.4,10.6,17.4,26.7,28.8,4.364285714,1.696173469,Almond,Termperate,Southern California,,,
120,a,8/12/2017,4.3,5.7,11.3,10.3,16.7,27.7,28,4.303571429,1.664668367,Almond,Termperate,Southern California,,,
121,b,8/13/2017,4.4,6.6,12,13,18.3,19.3,21.9,3.007142857,0.5471938776,Almond,Termperate,Southern California,,,
121,c,8/14/2017,4.4,6.9,11.4,12.7,18.2,18.8,22.6,3.042857143,0.6045918367,Almond,Termperate,Southern California,,,
121,a,8/15/2017,4.6,6.8,11.9,12.9,17.4,18.1,23.1,2.985714286,0.5770408163,Almond,Termperate,Southern California,,,
122,b,8/16/2017,2.1,2.8,5.3,6.6,7.1,8.6,8.6,1.175,0.1330357143,Almond,Termperate,Southern California,,,
122,c,8/17/2017,2,2.7,5.1,6.4,7,8.9,8.7,1.228571429,0.1887755102,Almond,Termperate,Southern California,,,
122,a,8/18/2017,1.9,2.7,5.1,6.4,6.8,9.2,8.8,1.264285714,0.2104591837,Almond,Termperate,Southern California,,,
123,b,8/19/2017,1.3,2.1,6.4,10.4,11.6,13.6,9.6,1.896428571,0.3210459184,Almond,Termperate,Northern California,,,
123,c,8/20/2017,1.3,2,6.4,10.1,11.2,13.2,9.4,1.839285714,0.3077806122,Almond,Termperate,Northern California,,,
123,a,8/21/2017,1.2,2.1,6.3,10.2,11.4,12.6,9.5,1.821428571,0.2844387755,Almond,Termperate,Northern California,,,
124,b,8/22/2017,3.8,9.5,14.5,17.5,24.4,21.5,23.9,3.364285714,0.1568877551,Almond,Termperate,Northern California,,,
124,c,8/23/2017,4,9.8,13.9,17.1,24.6,21.1,22.8,3.203571429,0.07181122449,Almond,Termperate,Northern California,,,
124,a,8/24/2017,3.8,10.2,13.4,17.4,24.5,22.1,21.8,3.175,0.01517857143,Almond,Termperate,Northern California,,,
125,b,8/25/2017,2.4,3.3,10.9,10.7,11.7,15.6,14,2.15,0.2732142857,Almond,Termperate,Northern California,,,
125,c,8/26/2017,2.4,3.2,11.4,11.2,11.3,15.3,13.7,2.071428571,0.1897959184,Almond,Termperate,Northern California,,,
125,a,8/27/2017,2.5,3.1,11.4,11.5,11.6,15.4,13.9,2.107142857,0.2114795918,Almond,Termperate,Northern California,,,
126,b,8/28/2017,4.1,7,18.8,20.5,20.4,27.6,21.9,3.435714286,0.0931122449,Almond,Termperate,Northern California,,,
126,c,8/29/2017,4.3,7.4,18.8,21,21.1,28.8,21.3,3.432142857,0.03201530612,Almond,Termperate,Northern California,,,
126,a,8/30/2017,4.3,7.3,17.9,21.6,20.3,29.9,20.4,3.425,0.05982142857,Almond,Termperate,Northern California,,,
127,b,8/31/2017,2.7,4.9,5.2,6.8,8,10.8,8.8,1.175,0.0008928571429,Almond,Termperate,Northern California,,,
127,c,9/1/2017,2.6,5.1,5.3,6.9,7.8,11.2,8.9,1.2,-0.007142857143,Almond,Termperate,Northern California,,,
127,a,9/2/2017,2.6,5.1,5.4,6.7,8,11.6,9.3,1.275,0.04375,Almond,Termperate,Northern California,,,
128,b,9/3/2017,1,2.3,9.8,6.5,9.2,14.4,14.2,2.257142857,0.5918367347,Almond,Termperate,Northern California,,,
128,c,9/4/2017,1,2.3,10.3,6.4,8.9,14.5,14.6,2.278571429,0.5941326531,Almond,Termperate,Northern California,,,
128,a,9/5/2017,1,2.4,10,6.4,9.1,13.9,14.1,2.192857143,0.5385204082,Almond,Termperate,Northern California,,,
129,b,9/6/2017,1.5,2.2,8.9,10.3,14.9,17.4,20.3,3.314285714,1.187244898,Fruit,Desert,Southerm California,,,
129,c,9/7/2017,1.5,2.2,8.9,10.8,15.4,16.9,19.9,3.253571429,1.116454082,Fruit,Desert,Southerm California,,,
129,a,9/8/2017,1.6,2.3,8.6,10.6,16.1,17.8,19.9,3.335714286,1.175255102,Fruit,Desert,Southerm California,,,
130,b,9/9/2017,1.9,3,6.3,8.1,8.4,15,15.4,2.378571429,0.8298469388,Strawberry,Desert,Southerm California,,,
130,c,9/10/2017,2,2.9,6.4,8.4,8.6,14.7,16.1,2.432142857,0.8677295918,Strawberry,Desert,Southerm California,,,
130,a,9/11/2017,1.9,2.8,6.2,8.7,9,14.5,16.9,2.542857143,0.943877551,Strawberry,Desert,Southerm California,,,
